Word	Tag	Polarity	D(w)
lesbian	a	Negative	-9.19888E-06
asleep	a	Negative	-9.17065E-06
attractive	a	Negative	-8.97992E-06
sole	a	Negative	-8.92841E-06
campy	a	Negative	-8.87701E-06
overblown	a	Negative	-8.83723E-06
disgusting	a	Negative	-8.72177E-06
underdeveloped	a	Negative	-8.72026E-06
FALSE	a	Negative	-8.68865E-06
slight	a	Negative	-8.67934E-06
exactly	r	Negative	-8.67557E-06
hopelessly	r	Negative	-8.64908E-06
pedestrian	a	Negative	-8.63723E-06
limp	a	Negative	-8.62026E-06
cute	a	Negative	-8.575E-06
nonexistent	a	Negative	-8.47725E-06
unappealing	a	Negative	-8.43511E-06
obligatory	a	Negative	-8.36793E-06
monotonous	a	Negative	-8.35944E-06
sudden	a	Negative	-8.32893E-06
sophomoric	a	Negative	-8.28394E-06
frustrating	a	Negative	-8.24102E-06
elsewhere	r	Negative	-8.22107E-06
furthermore	r	Negative	-8.20674E-06
convenient	a	Negative	-8.2008E-06
token	a	Negative	-8.12686E-06
absolute	a	Negative	-8.12485E-06
reasonably	r	Negative	-8.12071E-06
solely	r	Negative	-8.07252E-06
unfortunate	a	Negative	-8.04349E-06
competent	a	Negative	-8.01215E-06
loosely	r	Negative	-8.00617E-06
precious	a	Negative	-7.98238E-06
mostly	r	Negative	-7.93523E-06
blank	a	Negative	-7.90905E-06
neither	r	Negative	-7.88579E-06
vapid	a	Negative	-7.88452E-06
military	a	Negative	-7.88142E-06
remote	a	Negative	-7.86471E-06
dreadfully	r	Negative	-7.84309E-06
racist	a	Negative	-7.84047E-06
misguided	a	Negative	-7.81578E-06
your	a	Negative	-7.72585E-06
logical	a	Negative	-7.70302E-06
massive	a	Negative	-7.65746E-06
talentless	a	Negative	-7.63376E-06
pathetically	r	Negative	-7.61958E-06
magically	r	Negative	-7.51395E-06
stupidly	r	Negative	-7.49472E-06
annoyed	a	Negative	-7.44637E-06
predictably	r	Negative	-7.40181E-06
shameless	a	Negative	-7.35532E-06
tame	a	Negative	-7.35248E-06
worthwhile	a	Negative	-7.29E-06
blue	a	Negative	-7.27754E-06
unsympathetic	a	Negative	-7.19776E-06
clueless	a	Negative	-7.16959E-06
blond	a	Negative	-7.15166E-06
irritated	a	Negative	-7.14787E-06
misleading	a	Negative	-7.11284E-06
woefully	r	Negative	-7.04948E-06
hard	r	Negative	-7.02797E-06
bloated	a	Negative	-7.01747E-06
meaningful	a	Negative	-6.98262E-06
redundant	a	Negative	-6.92006E-06
nuclear	a	Negative	-6.89277E-06
desperate	a	Negative	-6.87389E-06
bare	a	Negative	-6.87338E-06
ten	a	Negative	-6.86224E-06
goofy	a	Negative	-6.85569E-06
wet	a	Negative	-6.79966E-06
unattractive	a	Negative	-6.79625E-06
liberal	a	Negative	-6.7957E-06
untalented	a	Negative	-6.78385E-06
ignorant	a	Negative	-6.74028E-06
glowing	a	Negative	-6.71045E-06
existent	a	Negative	-6.70265E-06
undeveloped	a	Negative	-6.69415E-06
unforgivable	a	Negative	-6.68681E-06
tepid	a	Negative	-6.62577E-06
porn	a	Negative	-6.60267E-06
repulsive	a	Negative	-6.51451E-06
trashy	a	Negative	-6.48766E-06
unrelated	a	Negative	-6.48423E-06
needless	a	Negative	-6.48097E-06
wretched	a	Negative	-6.47489E-06
marginally	r	Negative	-6.44679E-06
teenage	a	Negative	-6.43148E-06
cheaply	r	Negative	-6.42653E-06
because	r	Negative	-6.39092E-06
turgid	a	Negative	-6.38228E-06
inexplicable	a	Negative	-6.34242E-06
sappy	a	Negative	-6.29989E-06
unimpressive	a	Negative	-6.20056E-06
interminable	a	Negative	-6.19497E-06
annoyingly	r	Negative	-6.19124E-06
horny	a	Negative	-6.1891E-06
vacuous	a	Negative	-6.1593E-06
inane	a	Negative	-6.13867E-06
spare	a	Negative	-6.13498E-06
witless	a	Negative	-6.13423E-06
mutant	a	Negative	-6.11808E-06
unexciting	a	Negative	-6.04862E-06
shamelessly	r	Negative	-6.01912E-06
woeful	a	Negative	-6.00896E-06
unnatural	a	Negative	-6.0044E-06
unnecessarily	r	Negative	-5.99605E-06
early	r	Negative	-5.9772E-06
smug	a	Negative	-5.97607E-06
asian	a	Negative	-5.96186E-06
stilted	a	Negative	-5.90287E-06
messy	a	Negative	-5.89571E-06
artificial	a	Negative	-5.8957E-06
depressing	a	Negative	-5.87326E-06
foolish	a	Negative	-5.81878E-06
gaping	a	Negative	-5.81463E-06
hammy	a	Negative	-5.79903E-06
blah	a	Negative	-5.76793E-06
transparent	a	Negative	-5.75223E-06
strictly	r	Negative	-5.74512E-06
shameful	a	Negative	-5.74006E-06
simplistic	a	Negative	-5.71742E-06
soulless	a	Negative	-5.71362E-06
static	a	Negative	-5.68976E-06
clear	a	Negative	-5.6859E-06
pale	a	Negative	-5.66791E-06
upset	a	Negative	-5.66603E-06
responsible	a	Negative	-5.66076E-06
drab	a	Negative	-5.65954E-06
imaginable	a	Negative	-5.63803E-06
overwrought	a	Negative	-5.63583E-06
standard	a	Negative	-5.61114E-06
pretty	a	Negative	-5.60815E-06
clunky	a	Negative	-5.6022E-06
distasteful	a	Negative	-5.58958E-06
clumsily	r	Negative	-5.57455E-06
recycled	a	Negative	-5.54653E-06
forced	a	Negative	-5.52876E-06
miscast	a	Negative	-5.52212E-06
absent	a	Negative	-5.49096E-06
plastic	a	Negative	-5.48288E-06
discernible	a	Negative	-5.45405E-06
moderately	r	Negative	-5.45297E-06
infantile	a	Negative	-5.37981E-06
ineffective	a	Negative	-5.32649E-06
mercifully	r	Negative	-5.31848E-06
minimal	a	Negative	-5.29861E-06
admittedly	r	Negative	-5.29535E-06
stereotyped	a	Negative	-5.28937E-06
crass	a	Negative	-5.26943E-06
invisible	a	Negative	-5.25668E-06
vain	a	Negative	-5.25437E-06
mummy	a	Negative	-5.18729E-06
inferior	a	Negative	-5.18569E-06
useful	a	Negative	-5.17839E-06
evidently	r	Negative	-5.16391E-06
shaky	a	Negative	-5.13956E-06
aimlessly	r	Negative	-5.13299E-06
redeemable	a	Negative	-5.12937E-06
uneventful	a	Negative	-5.09434E-06
crude	a	Negative	-5.08755E-06
loose	a	Negative	-5.06816E-06
black	a	Negative	-5.06588E-06
uninvolving	a	Negative	-5.04068E-06
cartoonish	a	Negative	-5.03027E-06
fairly	r	Negative	-5.01225E-06
major	a	Negative	-5.00272E-06
